SMILES,G01,G02,G03,G04,T01,T02,T03,B01,B02,H01
C(C(C([Pt])[Pt])[Pt])(CC[Pt])([Pt])C,1,1,0,0,1,1,1,1,0,0
C(CC(C([Pt])[Pt])[Pt])([Pt])([Pt])C,1,1,0,0,0,1,0,1,1,0
C(C(C([Pt])[Pt])[Pt])(C[Pt])([Pt])C,1,0,0,0,1,1,1,1,0,0
C(C(C(C([Pt])[Pt])[Pt])([Pt])C)([Pt])([Pt])C,2,0,0,0,0,1,1,1,1,0
C(C(C(C([Pt])[Pt])[Pt])[Pt])([Pt])[Pt],0,0,0,0,0,2,0,2,0,0
C(CC)(CCC)[Pt],2,3,0,0,0,1,0,0,0,0
C(C(CCC)[Pt])([Pt])C,2,2,0,0,0,2,0,0,0,0
C(CC[Pt])(CCC)[Pt],1,3,0,0,1,1,0,0,0,0
C(C(CCC)[Pt])([Pt])([Pt])C,2,2,0,0,0,1,0,0,1,0
C(CC(CCC)[Pt])([Pt])[Pt],1,3,0,0,0,1,0,1,0,0
C(C(C[Pt])[Pt])(CCC)[Pt],1,2,0,0,1,2,0,0,0,0
C(CC(CCC)[Pt])([Pt])([Pt])[Pt],1,3,0,0,0,1,0,0,0,1
C(C(CCC)[Pt])(C[Pt])([Pt])[Pt],1,2,0,0,1,1,0,0,1,0
C(C(CCC)[Pt])([Pt])([Pt])[Pt],1,2,0,0,0,1,0,0,0,1
C(C(C(CCC)[Pt])[Pt])([Pt])[Pt],1,2,0,0,0,2,0,1,0,0
C(CC)(CC)C[Pt],2,2,1,0,1,0,0,0,0,0
C(CC)(CC)[Pt],2,2,0,0,0,1,0,0,0,0
C(CC(CC)[Pt])([Pt])C,2,2,0,0,0,2,0,0,0,0
C(C([Pt])C)(CC)C[Pt],2,1,1,0,1,1,0,0,0,0
C(CC)(CCC[Pt])[Pt],1,3,0,0,1,1,0,0,0,0
C(CC)(C[Pt])CC[Pt],1,2,1,0,2,0,0,0,0,0
C(CC)(CC[Pt])[Pt],1,2,0,0,1,1,0,0,0,0
C(CC)(C[Pt])C[Pt],1,1,1,0,2,0,0,0,0,0
C(CC(CC)[Pt])([Pt])([Pt])C,2,2,0,0,0,1,0,0,1,0
C(C(CC)C[Pt])([Pt])([Pt])C,2,1,1,0,1,0,0,0,1,0
C(CCC(CC)[Pt])([Pt])[Pt],1,3,0,0,0,1,0,1,0,0
C(C[Pt])(CC(CC)[Pt])[Pt],1,2,0,0,1,2,0,0,0,0
C(CC(CC)C[Pt])([Pt])[Pt],1,2,1,0,1,0,0,1,0,0
C(C(CC)C[Pt])(C[Pt])[Pt],1,1,1,0,2,1,0,0,0,0
C(CC(CC)[Pt])([Pt])[Pt],1,2,0,0,0,1,0,1,0,0
C(C(CC)C[Pt])([Pt])[Pt],1,1,1,0,1,0,0,1,0,0
